created_time,favorite_count,retweet_count,china,billion,products,democrats,great,dollars,tariffs,country,mueller,border,president,congressman,people,korea,party,years,farmers,going,trade,never
Fri Nov 15 15:01:44 +0000 2019,62321,16947,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fri Nov 15 15:01:40 +0000 2019,112971,30710,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fri Nov 15 13:48:52 +0000 2019,57212,15653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 15 13:48:50 +0000 2019,71182,19355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fri Nov 15 04:52:17 +0000 2019,63153,17080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 15 04:52:16 +0000 2019,79331,22183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 15 04:24:48 +0000 2019,0,7143,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fri Nov 15 03:53:17 +0000 2019,64803,18023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fri Nov 15 02:54:22 +0000 2019,0,10636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 15 02:53:49 +0000 2019,0,6517,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 15 02:52:38 +0000 2019,0,22633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fri Nov 15 02:51:14 +0000 2019,0,20402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 15 02:50:55 +0000 2019,0,12151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 15 00:28:02 +0000 2019,59660,13444,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 23:34:56 +0000 2019,44460,8457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 23:34:55 +0000 2019,54346,10322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 15:39:25 +0000 2019,149506,30222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 15:28:28 +0000 2019,45591,10844,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 15:28:18 +0000 2019,43701,10630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 15:28:15 +0000 2019,55256,13862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Thu Nov 14 14:49:05 +0000 2019,50542,11977,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Thu Nov 14 14:37:52 +0000 2019,48821,12529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 14:32:35 +0000 2019,84034,19044,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 13:44:07 +0000 2019,97176,21830,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Thu Nov 14 11:54:17 +0000 2019,88532,24557,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Thu Nov 14 11:41:12 +0000 2019,0,20610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 11:40:49 +0000 2019,0,21527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 11:33:06 +0000 2019,0,8716,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thu Nov 14 11:29:47 +0000 2019,0,6937,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thu Nov 14 11:28:44 +0000 2019,0,9100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thu Nov 14 11:27:52 +0000 2019,0,9363,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Thu Nov 14 11:27:38 +0000 2019,0,5541,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thu Nov 14 11:26:55 +0000 2019,0,12103,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thu Nov 14 11:25:20 +0000 2019,0,7899,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:47:12 +0000 2019,163012,26802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:39:06 +0000 2019,0,9459,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:38:51 +0000 2019,0,17906,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:38:35 +0000 2019,0,13870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:38:13 +0000 2019,0,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:37:56 +0000 2019,0,7360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:37:43 +0000 2019,0,4949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:36:59 +0000 2019,0,10932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:36:50 +0000 2019,0,22215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:36:05 +0000 2019,0,6778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:35:56 +0000 2019,0,7213,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thu Nov 14 03:35:43 +0000 2019,0,9776,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
